106952,kuca,prodaja,Pećinci,Okolne lokacije,260,1995,uobičajeno,18,NULL,na struju,prazno,NULL,NULL,NULL,uknjiženo,NULL,22,60000,"Prodajem kucuqu Simanovcima, vlasnik 1/1, uknjizena i legalizovana sa pomocnim objetima. Objekat je na odlicnoj lokaciji, sa velikim dvoristem i dva izlaza ka obe ulice. Sto se kuce tice u pitanju je novogradnja, dupli zidovi sa izolacijom, sto se tice ulaganja potrebna je fasada da se sredi (vidi se na slici). Za Vise informacija nazovite. Ne zanima me zamena, samo cash."
104005,kuca,izdavanje,Beograd,Čukarica,200,NULL,NULL,NULL,NULL,na gas,namešteno,NULL,NULL,NULL,NULL,NULL,12,1200,"Izdajem kucu sa 12 soba sa kupatilima. Sobe su kompletno opremljenje, tv, ves masina, frizider, posteljina, posudje pogodno za staracki dom ili vrtic ili druge namenenkuca se nalazi u Zelezniku i moguci svaki vid saradnje. Grejanje na gas POZOVI TE 063-304-867 LJILJANA  imam takodje halu potrebna adaptacija unutrasnji radovi od  180 KVADRATA AKO NEKOGA  INTERESUJE IMA NEKU IDEJU  MOGUCA ZAJEDNICKA SARADNJA ILI IZDAVANJE  POTPUNO SREDJENOG PROSTORA IMA OKO 250kv i POLUZAVRSENA HALA 180KV  VREDNI ODGOVORNI SANSA KOJA SE NEPPROPUSTA "
108056,kuca,izdavanje,Beograd,Palilula opština,1000,NULL,uobičajeno,NULL,NULL,centralno,prazno,NULL,NULL,NULL,NULL,10,12,10000,"***
Izdaje se kuća la IV sprata, idealna za mnoge delatnosti, domove, bolnice i sl.

Agencijska provizija 50% od prve zakupnine."
72032,kuca,izdavanje,Beograd,Savski Venac,1154,NULL,uobičajeno,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,18,11,15000,"Vrhunski višenamenski objekat na Dedinju u blizini Diplomatske kolonije. Duži niz gfdina u objektu je bila internacionalna škola. U prizemlju se nalazi veliki prostran, otvoren prostor ka lepo uređenom dvorištu, sa kojim ima povezanost i preko velike terase. Na spratove pored mermernog stepeništa objekat poseduje lift. Sve prostorije su pokrivene protivpožarnim sistemom, centralnom klimom, video nadzorom. Velika podzemna garaža, ali mogućnost nalaženja parking mesta i van dvorišta. "
71959,kuca,izdavanje,Sokobanja,Gradske lokacije,350,NULL,NULL,NULL,NULL,NULL,namešteno,NULL,NULL,NULL,NULL,NULL,9,20,"Vila Mina u mirnom kraju Sokobanje udaljena od glavnog šetališta 500 metara, iznad parka Borići, sa lepim pogledom na Sokobanju, Rtanj i Ozren.
U ponudi su dvokrevetne, trokrevetne i četvorokrevetne sobe sa sopstvenim kupatilom i kuhinjom, a moguće je i korišćenje besplatnog interneta i parkinga. 
Gostima Vile Mine je na rspolaganje i bazen koji se nalazi u okviru ovog objekta.
Za više informacija možete pozvati na brojeve telefona 064-4226820 Đurđa, 064-122511q Ljuba"
94847,kuca,prodaja,Novi Sad,Gradske lokacije,800,NULL,novo,800,NULL,na gas,NULL,NULL,NULL,NULL,uknjiženo,12,8,880000,"Nov poslovno stambeni objekat. Sastoji se od 3 poslovna prostora ukupne povrsine 400m2 i 6 stanova razlicitih struktura ukupne povrsine 400m2. STAN1-25M2, STAN2-36M2, STAN3-62M2, STAN4-111M2, STAN5-80M2, STAN6-80M2 LOKAL DO ULICE P+1 SPRAT 203M2, LOKAL U DVORISTU 3GARAZE 90M2 I LOKAL U DVORISTU PRIZEMLJE 105M2. Prodaje se iskljucivo sve zajedno, ceo objekat. Odlicna nekretnina za Firme, investitore ili za izdavanje. Za vise informacija Pozoviie!"
110224,kuca,prodaja,Novi Sad,Stari Grad,153,NULL,NULL,NULL,NULL,na struju,NULL,NULL,NULL,NULL,uknjiženo,8,8,173300,"Prodaje se ekskluzivna nekretnina na dva sprata, nalazi se na odličnoj lokaciji na svega nekoliko minuta od Cenera grada, TC Promenada, Spensa, sastoji se od osam soba, osam kupatila i 2 terase, kao i pomoćni objekat u dvorištu koji je služio kao recepcija, prodaje se kompletno opremljen, idealno za izdavanje stan na dan.

može se podeliti u tri celine, uknjižen 1/1

Za više slike i informacija pozovite 061/684-7798"
106335,kuca,prodaja,Irig,Okolne lokacije,235,1998,uobičajeno,306,NULL,etažno,namešteno,NULL,NULL,NULL,uknjiženo,NULL,8,175000,"Kuća za odmor je namenski građena kao poslovni prostor. Struktura spavaćeg prostora čine 1 apastman, 3 studio-apartmana, 4 sobe, 1 soba za poslugu. Dodatni prostor čine kuhinja 18m2, bilijar sala 40m2, bašta 70m2, parking sa 8 parking mesta okruženih zelenom površinom. Položaj objekta je idealan, kuća je u samom centru Vrdnika i izolovana je od buke, svi postojeći sadržaji na maksimalno 5 minuta šetnje (banja, samousluga, pijaca, centralni park, dom zdravlja, autobuska stanica, sportski tereni, manastir Ravanica i sl). Grejanje je etažno (kombinacija struje i tvrdog goriva). Uvođenje gasa je u toku. Objekat je opremljen u rustičnom stilu. Gradnja je završena 1998. godine.
- Više informacija na lokaciji http://www.vrdnickavila.com.
- Video klip možete pogledati na lokaciji https://www.youtube.com/watch?v=9GZMq_zGGbQ."
104856,kuca,prodaja,Irig,Okolne lokacije,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uknjiženo,7,7,155000,"ODLIČNA INVESTICIJA ZA SEOSKI TURIZAM I IZDAVANJE
FANTASTIČNA KUĆA SA BUNGALOVIMA U CENTRU VRDNIKA
 
Kuća se nalazi u blizini bazena i hotela. Kuća je kompletno renovirana (strujne i vodovodne instalacije, krov kxo i fasada) .
Prodaje se zajedno sa pet bungalova na susednom placu. Svaki od njih poseduje terasu, kuhinju, klimu, kao i parking mesto.
Uknjiženo (kuća 80m² i svaki bungalov po 20m²) .
Mogućnost kupovine na kredit.
Sat vremena vožnje od Beograda.
Za svaku preporuku!
 
AGENCIJSKA PROVIZIJA 2% ."
56952,stan,izdavanje,Novi Sad,Stari Grad,72,2007,novo,NULL,7,centralno,prazno,1,NULL,NULL,NULL,2,6,610,"EKSKLUZIVNO IZDAVANJE!
Izdajemo dvosoban stan na potkrovlju, površine 72 m2 na odličnoj lokaciji.
Stan je kompletno renoviran.
Nalazi se na odličnoj lokaciji u blizini suda, Spetsa, centra, Merkatora. Zbog svoje veoma atraktivne lokacije odličan je za razne delatnosti.  

Pozovite nas i zakažite razgledanje, 

 Vaše Gold nekretnine Novi Sad. Reg.posrednika br.1039"
